iter	Passed	Remaining
409	4259	6129
410	4269	6118
411	4280	6108
412	4289	6097
413	4300	6086
414	4309	6075
415	4321	6067
416	4331	6055
417	4340	6044
418	4350	6032
419	4359	6020
420	4368	6007
421	4378	5997
422	4390	5988
423	4401	5979
424	4411	5968
425	4422	5958
426	4436	5953
427	4447	5944
428	4460	5936
429	4472	5928
430	4483	5918
431	4494	5909
432	4504	5898
433	4515	5889
434	4525	5878
435	4538	5870
436	4549	5861
437	4560	5851
438	4573	5845
439	4585	5836
440	4597	5827
441	4607	5817
442	4616	5805
443	4627	5794
444	4637	5783
445	4647	5772
446	4657	5762
447	4669	5753
448	4678	5741
449	4689	5731
450	4698	5719
451	4708	5708
452	4717	5696
453	4727	5685
454	4738	5675
455	4750	5667
456	4762	5658
457	4772	5647
458	4781	5635
459	4791	5624
460	4801	5614
461	4811	5603
462	4820	5591
463	4832	5582
464	4842	5571
465	4852	5560
466	4862	5549
467	4873	5539
468	4883	5529
469	4893	5517
470	4905	5509
471	4915	5498
472	4926	5489
473	4937	5479
474	4952	5474
475	4966	5467
476	4978	5458
477	4993	5453
478	5009	5448
479	5024	5443
480	5036	5434
481	5049	5427
482	5063	5420
483	5075	5411
484	5091	5405
485	5105	5399
486	5114	5388
487	5126	5378
488	5135	5366
489	5145	5355
490	5155	5344
491	5167	5335
492	5181	5328
493	5191	5317
494	5202	5307
495	5211	5295
496	5222	5285
497	5231	5273
498	5242	5263
499	5255	5255
500	5266	5245
501	5279	5237
502	5288	5225
503	5299	5215
504	5310	5205
505	5322	5196
506	5333	5186
507	5344	5175
508	5355	5166
509	5366	5155
510	5379	5148
511	5392	5139
512	5405	5131
513	5419	5123
514	5436	5119
515	5457	5119
516	5476	5116
517	5493	5111
518	5504	5101
519	5516	5092
520	5527	5081
521	5540	5073
522	5555	5066
523	5567	5057
524	5583	5051
525	5596	5043
526	5608	5033
527	5620	5024
528	5632	5014
529	5641	5002
530	5651	4991
531	5660	4979
532	5671	4968
533	5682	4958
534	5694	4949
535	5704	4938
536	5714	4927
537	5725	4916
538	5736	4906
539	5750	4898
540	5762	4889
541	5776	4881
542	5787	4871
543	5796	4859
544	5809	4849
545	5818	4838
546	5828	4826
547	5837	4815
548	5846	4803
549	5856	4791
550	5865	4779
551	5873	4767
552	5882	4754
553	5892	4743
554	5900	4731
555	5909	4719
556	5918	4707
557	5927	4695
558	5935	4682
559	5946	4672
560	5955	4660
561	5964	4648
562	5972	4635
563	5981	4623
564	5990	4612
565	5999	4600
566	6009	4589
567	6018	4577
568	6028	4566
569	6036	4553
570	6046	4542
571	6054	4530
572	6063	4518
573	6072	4506
574	6081	4494
575	6091	4483
576	6100	4471
577	6109	4460
578	6119	4449
579	6127	4437
580	6136	4425
581	6145	4413
582	6153	4401
583	6162	4389
584	6170	4377
585	6180	4366
586	6189	4354
587	6197	4342
588	6206	4330
589	6214	4318
590	6223	4307
591	6232	4295
592	6240	4283
593	6248	4270
594	6257	4259
595	6265	4247
596	6276	4237
597	6286	4225
598	6297	4215
599	6308	4205
600	6318	4194
601	6327	4183
602	6337	4172
603	6346	4161
604	6357	4150
605	6366	4139
606	6377	4129
607	6386	4117
608	6399	4108
609	6410	4098
610	6422	4089
611	6435	4079
612	6445	4069
613	6457	4059
