date,S&P 500,Stoxx 50,FTSE 100,Topix,MSCI Asia ex-Japan,MSCI All-Country World
2007-10-26,-6.16043978948465,-3.866916803859255,-5.992824223499915,-8.678056125593237,-12.14568843018472,-5.994020217360352
2007-11-02,-1.8885172059748934,-0.343077676595438,-1.5021590665482587,-4.267671559896757,-6.35780064192939,-2.5293176335713707
2007-11-09,3.50553759372636,3.4554647345288236,3.965169947183944,4.510991400943554,-0.5942539850890549,1.8229679197008464
2007-11-16,0.6313667960020419,2.387679805716414,1.681714140386581,2.0099614723409376,-1.350172809199246,-0.1295143212951433
2007-11-23,3.037412368987291,2.71803173457843,2.746682422829405,2.213750017392746,2.490848727334627,1.04755654281099
2007-11-30,-0.17891624019337193,0.22048032400825424,0.6902448503692149,-3.6686946758231698,-1.4158725074077116,-0.8453810340602885
2007-12-07,-6.182792125795855,-3.9540386025360252,-3.148789455216705,-9.594944165556807,-3.4566080366529195,-5.22602623885573
2007-12-14,-4.559419598760184,-3.6340414856373737,-3.0483038924495887,-8.237801831806834,-1.4734291608002326,-3.815651653449048
2007-12-21,-10.729154035811007,-8.880728923150617,-8.27466156882859,-8.691805063980397,-5.1646234094156025,-8.75571432140092
2007-12-28,-10.002096733829791,-14.248156489520147,-9.38566289428584,-8.871164480104088,-9.403584019755973,-9.897442234029397
2008-01-04,-1.148317901999818,-9.438172779491072,-5.029534535717106,-5.31549461367935,-11.319681456200225,-4.180900423188694
2008-01-11,-4.977088121511475,-12.404770300877344,-6.739761367300867,-6.565135963065649,-9.612508723538603,-7.039514623522103
2008-01-18,1.8721843660154391,-6.90558849811147,-1.9333412406594586,-0.4927320163995441,-2.259629700993182,0.0793954990965462
2008-01-25,1.6909537730815272,-1.0577009631829948,0.33225421707274716,-1.7400745108829052,-1.5261015368613573,1.0093252879868286
2008-02-01,-4.6430465379598935,-3.6967319720644154,-2.4033039209181872,-0.9410110258366577,3.562723357463593,-1.4500079816953115
2008-02-08,-2.848365119545704,-3.3635309915513223,-1.4540110650069216,-3.058719331230486,-2.016655330257189,0.016735001255119286
2008-02-15,-4.58222222222221,-4.1053644791465,-2.6936899578409057,-10.61211036115336,-8.854997401387122,-2.3580905484885784
2008-02-22,-1.7441301889720706,-6.186866321836925,-6.679120319266374,-7.668556119784764,-9.10547785547785,-3.5516454871293512
2008-02-29,-1.158098043783773,-2.2405692039199843,-3.252723348571629,-6.076509499501615,-4.993894777823005,-1.7602116573526727
2008-03-07,5.955758986214321,6.10957647874566,4.336918191547223,3.299486283529829,2.696060037523451,5.382191360606825
2008-03-14,3.469343394351543,3.7402673141572196,4.684198377044235,7.156206263670861,9.510794761886054,4.068024542627402
2008-03-21,4.574617716301499,8.633731709404158,10.214368903770566,6.886659453788391,10.903189613720144,7.466216216216237
2008-03-28,6.2818387798238895,4.2114225292154694,6.9999473027806625,7.726260441707344,6.515543800175094,5.650059083789061
2008-04-04,3.1742556917688347,2.168528667790892,4.513124043651517,6.86222787717039,5.921040612382833,2.8500357246817876
2008-04-11,4.160320520996685,2.745953367441545,5.24467814434737,4.938136428336803,-0.39859951521681314,3.4459550410553375
2008-04-18,2.5188264656592407,1.4262496094355148,4.091471972261207,7.040320230664232,3.4342594934422044,3.6335533899193084
2008-04-25,-1.567418302523882,-1.8071415958823334,-0.06730800801129089,2.7449604824204554,-3.6827839468392187,0.351150994927818
2008-05-02,-0.9562203833368699,-2.5699548678272066,-2.6063872576622904,2.232483174699973,-4.982924557590806,-0.23413780682345342
2008-05-09,-1.9880715705765328,-5.389586988602146,-4.801199091011643,6.435577152396843,-2.1019234582589696,-1.0644111906310982
2008-05-16,-4.582734065317284,-7.772378854283424,-7.9548879336326035,-1.7408497926024613,-11.483713212819834,-6.567405647261049
2008-05-23,-4.215330721766364,-8.031520578020412,-7.663496131289738,-1.4491279808816815,-8.449681366764095,-6.005702436495596
2008-05-30,-8.711921050000715,-11.582778564527441,-8.649541587511367,-6.211030153251807,-11.822686924794423,-8.629271437782071
2008-06-06,-7.186112825939972,-8.938749409180636,-8.363242364732171,-9.119045451680874,-14.401458375531707,-9.146148989898995
2008-06-13,-8.863039785887072,-10.242037572943886,-9.32653201902529,-6.2453976100381166,-5.779400157853198,-7.732474770704267
2008-06-20,-4.34393328932493,-3.06573901674555,-4.348135496726457,-7.68828220587584,-8.632622706990578,-5.120922152055818
2008-06-27,-1.6129789264538008,0.325123418166795,-3.206206260511024,-1.6960959505709194,-1.0622529644268686,-2.9777865590335684
2008-07-04,-0.2050835378889948,1.2643502686858987,-1.073381613952118,-1.9223657040712605,2.538398657660368,-0.9872897304496253
2008-07-11,4.584950261801213,6.588946081343927,4.3256804013988015,-2.0203591231112594,-2.295239890264078,0.2257865876902354
2008-07-18,2.9761715899355945,1.3876135395435085,1.458224834461741,-0.4088052825307664,-1.096110435839559,-1.8252630355170663
2008-07-25,2.738201246660732,-1.1554311530737493,2.858423943504085,-6.3052654281048675,-8.780690803162727,-2.2604293943096487
2008-08-01,1.7868619625330373,1.478015202269778,5.264533960819473,-1.4313434360098354,-7.067931020014262,-1.2778525059945034
